sex,age_cat,race,score
Male,25 - 45,African-American,0.9078986369712312
Female,25 - 45,African-American,0.9078979162707845
Male,25 - 45,African-American,0.9078978149966288
Male,Greater than 45,Caucasian,0.9078971795839308
Male,Greater than 45,Caucasian,0.9078971564455154
Male,Greater than 45,Caucasian,0.9078969657036451
Male,25 - 45,African-American,0.907896838524402
Female,25 - 45,African-American,0.9078968213816667
Male,Greater than 45,Other,0.9078967651625555
Male,Greater than 45,Caucasian,0.907896751689696
Male,25 - 45,African-American,0.907896743077141
Male,Greater than 45,Hispanic,0.9078966747883579
Female,25 - 45,African-American,0.907896672947372
Female,Greater than 45,Caucasian,0.9078966588966109
Male,Greater than 45,Caucasian,0.907896601533667
Male,Greater than 45,Caucasian,0.9078965745355511
Male,25 - 45,Caucasian,0.9078965704575257
Male,Greater than 45,Caucasian,0.9078965621915307
Male,Greater than 45,Caucasian,0.9078965615400512
Male,25 - 45,African-American,0.9078965382900237
Male,Greater than 45,Caucasian,0.9078965349319864
Male,Greater than 45,Caucasian,0.9078965227617148
Male,25 - 45,Hispanic,0.9078965227310937
Male,25 - 45,Asian,0.9078964884536279
Male,25 - 45,African-American,0.9078964567282575
Male,Greater than 45,Caucasian,0.9078964509171409
Male,Greater than 45,African-American,0.9078964471053637
Male,Greater than 45,Hispanic,0.9078964344460442
Male,Greater than 45,Caucasian,0.9078964292574667
Male,Greater than 45,African-American,0.9078964257488884
Male,Greater than 45,African-American,0.9078964238803526
Male,Greater than 45,Caucasian,0.9078963836667641
Male,25 - 45,Caucasian,0.907896380881087
Male,Greater than 45,Other,0.9078963456617721
Male,Greater than 45,African-American,0.907896309890145
Male,Greater than 45,Caucasian,0.9078962968692708
Male,Greater than 45,Hispanic,0.9078962909026976
Male,Greater than 45,Caucasian,0.9078962852627541
Male,25 - 45,Caucasian,0.9078962752674906
Male,Greater than 45,Caucasian,0.9078962748960671
Male,25 - 45,African-American,0.9078962692780478
Male,Greater than 45,Caucasian,0.9078962667305034
Male,Greater than 45,Other,0.9078962649335321
Male,Greater than 45,African-American,0.9078962445609414
Male,25 - 45,Caucasian,0.9078962145014364
Male,25 - 45,Caucasian,0.9078961943233679
Male,Greater than 45,Caucasian,0.9078961905240783
Male,Greater than 45,Caucasian,0.907896152022875
Female,25 - 45,Caucasian,0.9078961506343586
Male,Greater than 45,Hispanic,0.9078961450952079
Male,25 - 45,African-American,0.9078961213419443
Female,25 - 45,African-American,0.9078961171132802
Male,25 - 45,Caucasian,0.9078961084767135
Female,Greater than 45,Caucasian,0.90789609287992
Male,25 - 45,Other,0.9078960911285564
Male,Greater than 45,Other,0.9078960906295737
Male,Greater than 45,Caucasian,0.9078960809744423
Female,Greater than 45,Caucasian,0.907896033244918
